Week,12M Fwd EPS 1W Chg
13,-0.227637922
14,-0.55026171
15,-0.499325236
16,0.420453004
17,-0.56726094
18,-0.747079598
19,-0.793759409
20,0.703545317
21,-0.178082192
22,-0.603815013
23,-1.173546873
24,-0.069851914
25,1.188312596
26,1.036197845
27,-0.765759606
28,-0.537412154
29,0.374064838
30,-1.890959282
31,-0.098480585
32,-0.323898043
33,-0.43797683
34,0.368951327
35,0.36759508
36,0.408508241
37,-0.827721661
38,-0.155608997
39,-0.410881269
40,0.953193911
41,-1.789740699
42,0.645716746
43,-1.069289991
44,-0.115290388
45,-0.865675949
46,-0.567602969
47,1.039227166
48,0.579458207
49,0.6913438
50,-0.986983264
51,2.181450448
52,-0.339318535
1,0.425592283
2,0.042378867
3,-1.60971477
4,-0.071756602
5,-0.473933649
6,-0.360750361
7,0.173787111
8,0.34697123
9,0.230514335
10,0.028748024
11,-0.229918092
12,0.403283883
13,2.438674509
14,0.042010923
15,0.307950728
16,1.0326542
17,1.284530387
18,1.022773762
19,0.350971922
20,-1.883239171
21,0.644365232
22,0.381419425
23,-0.312118334
24,-0.108902804
25,0.354319978
26,-0.977729495
27,-0.479978058
28,-0.785448532
29,-1.083333333
30,-0.828418983
31,-0.509698428
32,-0.441155543
33,-2.044025157
34,1.313293448
35,-0.259253925
36,-0.086642599
37,0.115623645
38,1.573552765
39,0.113700966
40,0.056785917
41,-0.283768445
42,-0.056915196
43,0.427107062
44,-0.070881769
45,-1.390268123
46,-0.877571572
47,2.133526851
48,-0.426318033
49,0.0999001
50,-0.698602794
51,-0.344580043
52,-0.086442876
1,-0.562364816
2,-0.377030162
3,-0.029112082
4,-1.456027956
5,-1.580969267
6,-0.375319021
7,-3.149487643
8,0.357865256
9,0
10,-0.217054264
11,-0.077688005
12,1.352822267
13,2.08652961
14,0.871656147
15,-0.804529201
16,1.607089216
17,0.724316334
18,0.190783681
19,1.186465505
20,1.505500869
21,0.855675984
22,0.466628959
23,0.056298381
24,0.126600084
25,0.913177859
26,0.765696784
27,0.165791655
28,0.055172414
29,0.620347395
30,0.945334977
31,0.122149837
32,0.284668564
33,1.297648013
34,0.894048572
35,-0.211612221
36,0.410868125
37,0.395987328
38,0.657375756
39,-0.117554859
40,-0.196155355
41,0.379979036
42,0.313275029
43,0.988939493
44,-0.785981188
45,1.623376623
46,0.153354633
47,0.472119433
48,-0.025400051
49,0.241361789
50,-0.658978583
51,0.76540375
52,0.557032536
1,0.025179403
2,2.366268093
3,0.885282184
4,-3.205362584
5,1.863510451
6,0.259579728
7,1.257551473
8,1.424570802
9,0.25210084
10,0.047898455
11,0.035906643
12,0.478583393
13,0.357227911
14,0.49833887
15,1.711924439
16,1.288450377
17,1.65024066
18,0.586245772
19,0.885451692
20,2.821908677
21,0.043219881
22,-0.345609677
23,0.552725696
24,0.06466911
25,0.915553641
26,-0.341551927
27,0.428403127
28,0.821158153
29,0.444256399
30,1.189974726
31,0.614007701
32,-0.22755482
33,0.539083558
34,1.361105383
35,-0.579857579
36,-0.460452266
37,0.431743421
38,0.839303992
39,0.345107592
40,0.546226988
41,0.613682093
42,0.059994001
43,0
44,1.219146597
45,0.325797216
46,0.551072623
47,1.585437463
48,0.154142582
49,-0.06733359
50,0.173260179
51,1.047371961
52,0.408900723
1,0.293588408
2,-0.084985836
3,0.44419242
4,-0.668046669
5,-0.776735815
6,-0.219570406
7,-0.679295829
8,-0.655042867
9,-0.484824978
10,-1.802591835
11,0.009922604
12,0.565532295
13,0.059194949
14,0.069019917
15,-0.049265938
16,-0.276025237
17,0.316330565
18,-0.236499803
19,-0.424733307
20,0.932447178
21,0.481572482
22,0.058685446
23,0.068426197
24,-0.107453355
25,0.440054762
26,-0.077889203
27,-0.760011692
28,0.805105547
29,-0.379857797
30,-0.146656238
31,-0.597277979
32,0.049251379
33,-0.167372256
34,0.374753452
35,-0.039300452
36,-0.452132888
37,-0.069115324
38,-0.227250272
39,0.911071499
40,0.098135427
41,-0.37254902
42,-0.196811651
43,0.009859988
44,-0.423937691
45,-0.227722772
46,-0.248089709
47,-2.676084361
48,-0.316876214
49,-0.851107465
50,-0.310269935
51,-0.487602448
52,-0.145954962
1,-3.330549175
2,-1.198833567
3,-0.415391342
4,-1.229418222
5,-3.678595243
6,-2.2729895
7,-3.742621015
8,-2.624800687
9,-0.226728807
10,2.689054412
11,-3.651340054
12,-0.370039556
13,0.294569672
14,-1.149278508
15,-1.072212892
16,-2.441890833
17,-0.522018471
18,-1.977933262
19,1.606039808
20,-1.47257498
21,0.397641574
22,-0.232177001
23,-1.177275838
24,-0.221637346
25,-2.665556018
26,1.026957638
27,-0.127064803
28,-0.466497031
29,-1.60488567
30,0.808314088
31,-1.059564719
32,-0.13024602
33,-0.24634111
34,1.510749564
35,-0.343445907
36,-1.163124641
37,-0.10169984
38,-0.378126818
39,1.270072993
40,-0.072077267
41,0.447201385
42,0.143616257
43,2.007744156
44,-0.126528891
45,-0.49268018
46,-0.961946527
47,1.471218397
48,-0.253378378
49,-0.16934801
50,1.950805768
51,-2.066001109
52,2.1945349
1,-0.166251039
2,0
3,0.180405218
4,1.634575426
5,0.272590977
6,-0.285442436
7,-0.109051254
8,-0.573144105
9,0.247049135
10,-0.109529025
11,1.110197368
12,-0.908228277
13,2.982216142
14,-0.358660999
15,-1.893080923
16,-1.752955565
17,-3.139695712
18,-2.641724975
19,-1.158697565
20,-1.394865707
21,-1.655379985
22,0.765110941
23,-0.683371298
24,-0.382262997
25,-0.690713738
26,2.720247295
27,-1.609990972
28,-0.535250038
29,-0.553505535
30,4.607297464
31,-2.645580845
32,0.197358433
33,0.060606061
34,-0.863113265
35,2.978463418
36,0.459804212
37,-0.118116049
38,-0.07390983
39,2.766272189
40,-0.532604002
41,0.607814761
42,-0.215765247
43,0.475709961
44,3.285509326
45,0.222253091
46,0.60984061
47,0.771456123
48,2.993848257
49,1.075126095
50,0.183847669
51,-0.078647267
52,3.200839564
1,0.432185077
2,0.911277054
3,0.087796313
4,0.125313283
5,0.075093867
6,0.500250125
7,0.398208064
8,0.96678235
9,1.927326295
10,0.638323498
11,0.155576831
12,-0.047795436
13,2.18768679
14,-0.035095929
15,0.526623757
16,1.071012806
17,2.557014513
18,1.965408805
19,1.167529464
20,0.533478498
21,9.909031839
22,1.211942063
23,-1.031931464
24,0.177060791
25,0.441869599
26,0.410597321
27,1.119657288
28,0.125168496
29,0.769304741
30,0.572573719

